S1,S2,S3,S4,S5,S6,S9,S10,S11,S12,S13,S14
6.02291,26.57193229,4.44278,16.64042,5.01777,2.41828,5.848966169,24.08827567,3.750215533,13.0695067,5.996494141,4.679531095
4.81445,23.13513,3.78038,17.4972,4.76767,1.85291,5.69650424,22.58435959,3.692519677,10.92664403,5.670967397,3.596772742
3.92358,18.46997,4.7607,14.42041,4.30509,1.83043,4.168622105,17.59905846,2.822757399,7.869801313,4.31078209,2.779874349
3.32619,16.04217,3.25466,15.38465,4.20772,1.97633326,4.020855183,16.02292265,2.822757399,7.269075565,3.922298445,2.779874349
4.10258,21.13569,2.07423,19.71504,5.2593,3.94359,4.460945972,18.6891875,3.045595324,8.461164072,5.187469347,3.409977101
4.62475,20.39909,9.5936,11.4648,6.20913,10.67082,6.761000251,24.57932613,3.854682437,14.0904737,6.893012673,5.984390711
5.49285,25.49065,13.447,8.445,11.815,27.65,7.827791919,31.63978162,4.826468081,18.40940269,9.729573527,14.59750669
4.92199,29.738,10.4412,6.222,8.82,19.65,6.668412276,26.42726043,4.818158953,9.079543956,7.453773986,7.292587111
3.1669,13.92070534,10.23147,3.22078,5.50269,2.3299,4.168622105,19.25544479,3.688100658,5.73312823,5.230033551,3.30122845
3.79172,17.1476,10.23707,4.15919,4.98849,2.265552761,4.168622105,18.32955413,3.770719246,5.857295481,4.392994779,3.30122845
4.27552,26.18498,5.247,5.014971228,5.15081,2.554772263,4.510506364,24.09937492,4.153241161,6.101096923,4.475043217,4.102432508
5.26288,33.2,2.8096,3.4,6.9696,2.032,4.629792636,28.55497452,4.392720867,7.723017631,4.580779644,4.830662799
5.34606,31.74,6.34,2.49,5.429,1.098,4.629792636,25.51794229,4.335025011,7.111326084,4.475043217,4.46207657
4.98372,24.41,5.3523,2.02,5.073,0.941,4.629792636,22.82231419,4.469672593,6.203451216,4.342567895,3.013651749
5.48791,25.57,2.3267,2.41,4.717,1.025,4.293866923,22.92664823,4.153241161,5.63793628,4.318125345,2.962069838
5.42793,25.016,5.2584,2.57,4.984,1.648,4.629792636,24.3452156,4.153241161,5.813710689,4.318125345,3.215833617
4.9648,26.02829412,6.416670967,3.22627,4.31224,2.651178763,4.629792636,23.89824658,4.021866952,6.526287552,4.243127232,3.982757383
6.00159,29.11507494,2.90000516,7.53747,3.91523,2.764,5.604790637,24.3538003,4.357220469,7.978504204,4.207917826,4.766421638
6.63265,31.07128107,3.29546041,14.90375,4.85635,4.10146,7.686362551,25.7346808,4.730577784,13.91727996,4.750365024,4.674347992
6.9843,30.92363577,1.3325,13.37474,4.92097,5.98881,7.681631887,24.76921981,4.730577784,13.63804573,5.12855038,5.445428182
7.10723,28.16378,6.09515,12.87602,5.7576,8.45003,8.749478116,24.76921981,4.730577784,16.44003747,4.828744817,5.445428182
7.13211,29.93176781,6.56251,13.54717,6.25801,7.90361,7.930032009,28.48741124,4.730577784,16.57554985,4.937232047,5.445428182
7.39954,31.27374,5.7815,12.53226,6.82195,7.85625,7.412504757,28.48741124,4.589766846,17.39957186,5.003369729,6.003218428
6.10497,29.26277107,2.75166,8.19619,4.69617,2.32756,5.848966169,27.30755194,4.730577784,13.57642832,4.430092304,4.271688346
6.80078,30.74525577,2.08483,10.9744,4.68628,2.8491,6.062846445,27.30755194,4.396170569,13.75354813,5.646672198,4.950694889
6.70791,31.34487107,2.94277,11.5502,5.01899,2.10439,6.668412276,27.65233808,3.934989856,13.75354813,5.727283421,4.950694889
6.86509,31.28250577,2.52977,14.51149,5.27965,1.77207,6.062846445,27.22604636,3.662634423,14.067833,5.583148608,4.786085984
7.57943,30.60092638,1.89712,13.01088,4.61958,3.84318,5.848966169,28.67285081,3.662634423,14.067833,5.918114348,4.583904116
6.65893,28.37082903,3.43895,17.26767,5.84953,7.68359,6.668412276,26.95096524,3.521823485,13.65948867,6.096120941,5.683555538
7.79476,33.28734128,8.06293,15.30844171,7.99171,22.3516,8.120946886,32.76748089,3.813667032,19.3779105,7.062173433,9.910167266
7.38618,31.2711,14.36,9.69,8.91,28.74,8.32452066,35.27348178,4.935544843,20.96452745,8.168662392,11.03811346
8.07635,38.4934,10.33,10.9,12.4,16.6,8.338968589,37.81621441,6.985369896,15.78486341,10.30811034,15.47445799
7.05031,35.881,12.64,7.79,10.71,6.47,7.577504416,34.01750501,5.204031997,10.86963278,7.554791746,7.994385303
5.92167,29.49200433,6.93,4.39597,4.34303,1.964,5.423564964,27.98223374,4.938917929,7.456131168,5.170815024,4.766421638
5.1078,26.11,2.5901,7.88,1.88,2.678,4.629792636,25.07097327,4.669432226,7.223623575,3.441937155,4.011023053
4.4286,26.7072,4.5072,2.62,1.88,2.172,3.951982664,20.36724366,3.878898527,5.719853986,3.293404845,3.570463634
5.17404,22.21,5.063,2.89,3.3,1.525,3.951982664,19.25544479,3.688100658,5.390372967,3.943751592,2.775274198
5.97817,18.0995,6.45,3.23,3.36,1.71,4.413153195,23.89824658,4.153241161,5.813710689,3.850658414,2.962069838
5.15212,19.13,4.9767,2.8,3.44,2.83,4.510506364,22.47967921,4.153241161,5.460816461,3.850658414,3.614171154
5.14006,26.22153616,2.548489383,1.2346,2.35751,2.795788514,4.629792636,23.89824658,3.965117397,6.647348899,3.850658414,3.614171154
6.54753,39.44812781,3.51515777,10.61033,3.80583,2.684,6.044396001,30.10350516,5.171652216,14.49028069,4.772811663,4.766421638
7.47222,43.90137537,4.218189324,19.9331,4.77499,1.95724,8.10771662,34.93109219,5.428506232,18.94095105,5.844941933,5.939986503
8.27059,43.12766476,4.393947213,20.69168,4.88939,2.58693,8.481828342,34.58925954,5.596485189,19.5619406,5.911079615,6.15354193
7.8016,34.8211872,3.690915659,20.6665,4.54735,4.40245,7.786616478,31.26934137,4.757745803,18.0828601,6.446453169,6.269241514
3.8596,19.09969064,9.977276246,2.4839,2.77723,1.00129,4.168622105,15.99097441,3.465262733,5.193313555,4.085802325,2.848856276
4.04838,18.05444921,8.26345,2.42184,3.07952,1.91238,3.804215742,13.88082366,3.145636062,4.322540265,3.980665005,2.322902024
4.32858,16.5699186,8.845457829,2.53415,3.18394,1.90707,4.168622105,17.59905846,3.523823152,4.524264842,4.14570019,2.779874349
3.64738,16.28476656,8.713639413,2.4882,3.28901,1.879926759,3.804215742,15.13636747,3.523823152,4.322540265,4.04056287,2.322902024
4.02751,17.84220656,8.713639413,2.09487,3.45218,1.879926759,3.804215742,15.13636747,3.523823152,4.322540265,4.04056287,2.526110571
3.44676,16.39507125,7.801518357,2.34521,3.75666,1.97633326,4.020855183,16.34795554,3.523823152,4.29380707,4.14570019,2.779874349
3.95664,18.39264738,4.196973606,5.52739,3.90001,2.410162512,4.460945972,19.18813295,3.376753464,8.3881032,4.92555607,3.409977101
4.82563,26.82140494,5.90000516,16.14157,5.34543,3.181414516,5.848966169,25.29635893,3.674128371,12.87223589,6.072009156,4.000524552
5.54939,36.89854516,3.559097242,26.38046,3.563,2.58673,6.882292552,31.92222957,4.242173749,18.85386338,7.087780639,5.873161526
9.33277,38.79875211,4.437886685,34.67048,5.09079,9.52373,8.703241735,36.02795128,5.079701412,21.91650275,8.586739616,10.05422779
10.12675,42.9158,4.833341934,26.74561,7.97129,17.53779,8.523003782,35.65385577,6.128479221,22.78715277,10.95520822,11.68856995
